MCST NUMBER	MCST UEN	DEVELOPMENT NAME	DEVELOPMENT LOCATION	MCST ADDRESS	MCST STATUS	MC TEL NO	DATE OF MC CONSTITUTION	MANAGING AGENT	MA TEL NO		
534	S81MC0534H	CHEN YUAN APARTMENT (Terminated)	2I RIVER VALLEY CLOSE 238427	TERMINATED GOLDHILL PLAZA - SINGAPORE 	TERMINATED	62569333	16/07/1981	NEWMAN & GOH PROPERTY CONSULTANTS (PTE) LTD	62569333		
535	S81MC0535D	NEWTON HEIGHTS (TERMINATED)	1 NEWTON ROAD 307943	138 CECIL STREET 14-01B SINGAPORE 069538	TERMINATED	63720092	17/07/1981	N			
536	S81MC0536L			1 NORTH BRIDGE ROAD 16-02 SINGAPORE 179094	ACTIVE	62892831	23/07/1981				
537	S81MC0537G	WATTEN HILL CONDOMINIUM	47 WATTEN ESTATE ROAD 287131	21 BUKIT BATOK CRESCENT 26-80 SINGAPORE 658065	ACTIVE	64111686	03/08/1981	Chamber Property Management Services Pte Ltd	81396963		
538	S81MC0538C		124B MACKENZIE ROAD 228712	124 MACKENZIE ROAD - SINGAPORE 228712	ACTIVE	63457611	04/08/1981	NIL			
539	S81MC0539K	HONG LEONG GARDEN SHOPPING CENTRE	214 WEST COAST WAY 127044	232 WEST COAST WAY - SINGAPORE 127113	TERMINATED	67790710	08/08/1981	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
540	S81MC0540G	HONG LEONG GARDEN	5 WEST COAST DRIVE 127992	75 WEST COAST DRIVE 01-07 SINGAPORE 127992	TERMINATED	67764562	25/08/1981	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	92743071		
541	S81MC0541C	THE LONGHOUSE (Strata scheme terminated)	336 PASIR PANJANG ROAD 118669	60B PAGODA STREET - SINGAPORE 059219	TERMINATED	67295596	27/08/1981	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
542	S81MC0542K	(Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		09/09/1981	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
543	S81MC0543F	SENG MANSIONS (TERMINATED)	1C ROBIN ROAD 258176	20 OLD TOH TUCK ROAD - SINGAPORE 597655	TERMINATED	64629565	19/09/1981	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
544	S81MC0544B	HILLTOPS  APARTMENTS	105 CAIRNHILL CIRCLE 229810	245 TANJONG KATONG ROAD - SINGAPORE 437033	TERMINATED	63488278	21/09/1981	ILAND PROPERTY CONSULTANTS PTE LTD	63488278		
545	S81MC0545J	LEICESTER COURT	8G LEICESTER ROAD 358841	1 SHENTON WAY 15-01 SINGAPORE 068803	TERMINATED	63372233	22/09/1981	NIL			
546	S81MC0546E		23B KENT ROAD 219219	23 KENT ROAD - SINGAPORE 219219	TERMINATED	62994225	30/09/1981	NIL			
547	S81MC0547A	SARKIES COURT	5 SARKIES ROAD 258125	161 LAVENDER STREET 02-07 SINGAPORE 338750	TERMINATED	62977177	02/10/1981	CITIPROP (S) PTE LTD	62977177		
548	S81MC0548H			11 JALAN KAKATUA - SINGAPORE 598529	ACTIVE	64692070	02/10/1981	CITIPROP (S) PTE LTD	62977177		
549	S81MC0549D		29F MINBU ROAD 308176	29 MINBU ROAD - SINGAPORE 308176	TERMINATED		13/10/1981	NIL			
550	S81MC0550A	GREEN MEADOWS	255 TAGORE AVENUE 787796	255 TAGORE AVENUE 01-01 SINGAPORE 787796	TERMINATED	64580881	19/10/1981	CKH STRATA MANAGEMENT PTE LTD	63463238		
551	S81MC0551H	WINDY HEIGHTS CONDOMINIUM	80 JALAN DAUD 419591	86 JALAN DAUD 01-88 SINGAPORE 419594	ACTIVE	67422065	22/10/1981	RHODO PROPERTY AND ESTATE MANAGEMENT SERVICES PTE LTD	65333375		
552	S81MC0552D	HILLCREST ARCADIA	251 ARCADIA ROAD 289847	253 ARCADIA ROAD 02-10 SINGAPORE 289849	ACTIVE	64686880	30/10/1981	RHODO PROPERTY AND ESTATE MANAGEMENT SERVICES PTE LTD	65333375		
553	S81MC0553L	ONG'S MANSION	17 NALLUR ROAD 456625	420 NORTH BRIDGE ROAD 06-01 SINGAPORE 188727	ACTIVE	63370087	03/11/1981	EARNEST MANAGEMENT SERVICES PTE LTD	63370087		
554	S81MC0554G	PATERSON MANS		TERMINATED  - SINGAPORE 	TERMINATED		05/11/1981	EARNEST MANAGEMENT SERVICES PTE LTD	63370087		
555	S81MC0555C	WONG TAK FLAT	412 SERANGOON ROAD 218124	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	68421731	03/11/1981	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731		
556	S81MC0556K	ORCHARD SHOPPING CENTRE	321 ORCHARD ROAD 238866	321 ORCHARD ROAD 06-01 SINGAPORE 238866	ACTIVE	62352068	06/11/1981	Knight Frank Estate Management Pte Ltd	68485678		
557	S81MC0557F	KATONG SHOPPING CENTRE	865 MOUNTBATTEN ROAD 437844	865 MOUNTBATTEN ROAD 05-37 SINGAPORE 437844	ACTIVE	63450322	21/08/1981	CKH STRATA MANAGEMENT PTE LTD	63450322		
558	S81MC0558B	TYE BUILDING	175B GEYLANG ROAD 389245	175A GEYLANG ROAD - SINGAPORE 389245	ACTIVE	67471455	19/11/1981	MCST			
559	S81MC0559J		1 YIO CHU KANG ROAD 545517	13 BEDOK RESERVOIR VIEW 12-04 SINGAPORE 478932	ACTIVE	96736966	19/09/1981	VA TOTAL MANAGEMENT PTE LTD	62762889		
560	S81MC0560F	CORONATION SHOPPING PLAZA	587 BUKIT TIMAH ROAD 269707	587 BUKIT TIMAH ROAD 03-00 SINGAPORE 269707	ACTIVE	64673186	16/12/1981	SCMS Property Management Pte Ltd	64688356		
561	S81MC0561B	PARKLANE SHOPPING MALL	35 SELEGIE ROAD 188307	35 SELEGIE ROAD 07-00 SINGAPORE 188307	ACTIVE	63389865	21/12/1981	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
562	S81MC0562J	HUB SYNERGY POINT	70 ANSON ROAD 079905	70 ANSON ROAD B1-101 SINGAPORE 079905	ACTIVE	65349351	24/11/1981	CB Richard Ellis Pte Ltd	62248181		
563	S81MC0563E	(Terminated)	26 CLUNY HILL 259663	230 VICTORIA STREET 14-01 SINGAPORE 188024	TERMINATED	64337545	29/12/1981	KEPPLE LAND INTERNATIONAL LTD	64337508		
564	S82MC0564F			28 SIN MING LANE 06-133 SINGAPORE 573972	ACTIVE	62569333	06/01/1982	NEWMAN & GOH PTY CONSULTANTS PTE LTD	62569333		
565	S82MC0565B		37A/B/C/D JALAN RAJA UDANG 329200	TERMINATED JALAN RAJA UDANG - SINGAPORE 	TERMINATED	97463064	06/01/1982	SIGMA ESTATE MANAGEMENT PTE LTD	97463064		
566	S82MC0566J	NOVENA VILLE	275 THOMSON ROAD 307645	28 SIN MING LANE 02-145 SINGAPORE 573972	TERMINATED	63420728	07/01/1982	TOTAL ESTATE MANAGEMENT SERVICES PTE LTD	63452117		
567	S82MC0567E	WILKIE MANSION (Terminated)	79C WILKIE ROAD 288071	C/O 1 THOMSON ROAD 04-332G SINGAPORE 300001	TERMINATED	62513366	08/01/1982	ESTALAND PROPERTY ASSOCIATES PTE LTD	62513366		
568	S82MC0568A	BUKIT TIMAH PLAZA / SHERWOOD TOWERS	1 JALAN ANAK BUKIT 588998	1 JALAN ANAK BUKIT 05-01 SINGAPORE 588996	ACTIVE	64683911	09/01/1982	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	63723033		
569	S82MC0569H	CHUAN COURT	131 LORONG CHUAN 556740	N LORONG CHUAN - SINGAPORE 	TERMINATED	97330578	11/01/1982	NIL			
570	S82MC0570E			TERMINATED VEERASAMY ROAD - SINGAPORE 	TERMINATED		12/01/1982	NIL			
571	S82MC0571A	GARDENIA COURT	40/A/B JALAN MATA AYER 759135	TERMINATED JALAN KILANG TIMOR - SINGAPORE 	TERMINATED	64685100	14/01/1982	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD			
572	S82MC0572H	MANAGEMENT CORPN STRATA TITLE PLAN NO 0572	1 QUEENSWAY 149053	1 QUEENSWAY B1-03 SINGAPORE 149053	ACTIVE	6479 8676	20/01/1982	DTZ DEBENHAM TIE LEUNG PTY MANAGEMENT SERVICES PTE LTD	64179222		
573	S82MC0573D	1 NASSIM	1 NASSIM ROAD 258458	10 ANSON ROAD 03-03 SINGAPORE 079903	ACTIVE	94551153	05/02/1982	HENG FATT PROPERTY PTE LTD	62255588		
574	S82MC0574L	BRIGHT BUILDING	1 JALAN RAJA UDANG 329185	36 ROBINSON ROAD 04-01 SINGAPORE 068877	TERMINATED	98581986	08/02/1982	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
575	S82MC0575G	THE GRANGEFORD	25 LEONIE HILL ROAD 239169	25 LEONIE HILL ROAD 01-05 SINGAPORE 239196	TERMINATED	67341756	10/02/1982	CKH STRATA MANAGEMENT PTE LTD	63463238		
576	S82MC0576C		1214/A/B UPPER THOMSON ROAD 787128	1212A UPPER THOMSON ROAD - SINGAPORE 787127	ACTIVE		11/02/1982	CKH STRATA MANAGEMENT PTE LTD	63463238		
577	S82MC0577K	TONG ENG BUILDING	101 CECIL STREET 69533	101 CECIL STREET 26-01 SINGAPORE 069533	ACTIVE	62237712	11/02/1982	TONG ENG BROTHERS PTE LTD	62237712		
578	S82MC0578F	KUIE PONG BUILDING	14A ROBIN WALK 258156	10A ROBIN WALK - SINGAPORE 258156	TERMINATED	68977177	12/02/1982	TONG ENG BROTHERS PTE LTD	62237712		
579	S82MC0579B	FURAMA TOWER (TERMINATED)	22 LEONIE HILL ROAD 239195	TERMINATED LEONIE HILL ROAD - SINGAPORE 239195	TERMINATED	65354600	23/02/1982	SCMS PROPERTY MANAGEMENT PTE LTD	65354600		
580	S82MC0580K			TERMINATED  - SINGAPORE 456442	TERMINATED		09/03/1982	SCMS PROPERTY MANAGEMENT PTE LTD	65354600		
581	S82MC0581F	PANDAN VALLEY CONDOMINIUM	7 ULU PANDAN ROAD 597630	3 PANDAN VALLEY 02-312 SINGAPORE 597627	ACTIVE	64689677	12/03/1982	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
582	S82MC0582B	(Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		24/03/1982	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
583	S82MC0583J	KIM SENG PLAZA (TERMINATED)	100 KIM SENG ROAD 239427	TERMINATED KIM SENG ROAD - SINGAPORE 239427	TERMINATED	62352582	29/03/1982	RHODO PROPERTY & ESTATE MANAGEMENT SERVICES PTE LTD	62230052		
584	S82MC0584E	KATONG SHOPPING  ARCADE		1 YUK TONG AVENUE 01-01 SINGAPORE 596306	TERMINATED	64661342	31/03/1982	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342		
585	S82MC0585A	JADE TOWERS	2 LEW LIAN VALE 537013	4 LEW LIAN VALE 01-00 SINGAPORE 537015	TERMINATED	90702644	06/04/1982	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731		
586	S82MC0586H	PASIR PANJANG COURT	21 PASIR PANJANG CLOSE 118972	21-37C PASIR PANJANG CLOSE - SINGAPORE 118980	ACTIVE	63387222	06/04/1982	HBA GROUP PROPERTY CONSULTANTS PTE LTD	63387222		
587	S82MC0587D	SIM LIM TOWER	10 JALAN BESAR 208787	10 JALAN BESAR 10-04 SINGAPORE 208787	ACTIVE	62954361	12/05/1982	NIL			
588	S82MC0588L	ST. PATRICK'S GARDEN		55 LORONG L TELOK KURAU 02-69 SINGAPORE 425500	ACTIVE	63488278	06/05/1982	Iland Property Consultants Pte Ltd	63488278		
589	S82MC0589G	GLORIA MANSION	292 PASIR PANJANG ROAD 118633	292 PASIR PANJANG ROAD - SINGAPORE 118633	ACTIVE	66653880	06/05/1982	PROPMAG MANAGEMENT SERVICES PTE LTD	66653880		
590	S82MC0590D	JUPITAL COURT		18 LORONG 102 CHANGI - SINGAPORE 426608	TERMINATED	64450508	18/05/1982	PROPMAG MANAGEMENT SERVICES PTE LTD	66653880		
591	S82MC0591L	KHENG LIAW		540 SIMS AVENUE 3-6 SINGAPORE 387603	ACTIVE	68421731	21/05/1982	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731		
592	S82MC0592G		59E JALAN MALU-MALU 769674	1 YUK TONG AVENUE 01-01 SINGAPORE 596306	ACTIVE	64661342	25/05/1982	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342		
593	S82MC0593C	DELTA HOUSE	2 ALEXANDRA ROAD 159919	2 ALEXANDRA ROAD - SINGAPORE 159919	ACTIVE	62703056	27/05/1982	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
594	S82MC0594K	YUEN SING MANSION	8C LORONG 13 GEYLANG 388644		ACTIVE	93663847	09/06/1982				
595	S82MC0595F	ENGINEERING MERCHANT BUILDING	7B LORONG 8 GEYLANG 399082	11A LORONG 8 GEYLANG - SINGAPORE 399082	ACTIVE	67446826	15/06/1982	NIL			
596	S1366377G	MANAGEMENT CORPN STRATA TITLE PLAN NO 0596	262 BALESTIER ROAD 329714	5001 BEACH ROAD 04-12 SINGAPORE 199588	ACTIVE	6842 0768	01/07/1982	Aladdin Management Solutions Pte Ltd	68420768		
597	S82MC0597J	KOVAN COURT	30 KOVAN ROAD 548087	c/o 30H KOVAN ROAD - SINGAPORE 548094	TERMINATED	96189757	12/07/1982				
598	S82MC0598E	THOMSON PLAZA	301 UPPER THOMSON ROAD 574408	301 UPPER THOMSON ROAD B1-00 SINGAPORE 574408	ACTIVE	64549133	13/07/1982	UNITED PREMAS LTD	68760088		
599	S82MC0599A	HIGH STREET PLAZA	77 HIGH STREET 179433	77 HIGH STREET 04-15 SINGAPORE 179433	ACTIVE	63374348	21/07/1982	NA			
06-3663	T11SM0006H	MIDVEW CITY	28 SIN MING LANE 573972	18 SIN MING LANE 01-19 SINGAPORE 573960	ACTIVE	6256933	31/08/2011	Newman & Goh Property Consultants Pte Ltd	62569333		
600	S82MC0600E	WOODLEIGH GROVE APARTMENTS	15 WOODLEIGH CLOSE 357910	65 CHULIA STREET 49-05 SINGAPORE 049513	TERMINATED		29/07/1982	NA			
601	S82MC0601A	WING ON LIFE GARDEN	335 BUKIT TIMAH ROAD 259718	335 BUKIT TIMAH ROAD 01-01 SINGAPORE 259718	ACTIVE	67341348	30/07/1982	Jones Lang LaSalle Property Consultants Pte Ltd	62203888		
602	S82MC0602H	DERBYSHIRE MANSIONS	21 DERBYSHIRE ROAD 309461	21 DERBYSHIRE ROAD 01-01 SINGAPORE 309467	TERMINATED	62557997	05/08/1982	ACE BODY CORPORATE MANAGEMENT PTE LTD	62557997		
603	S82MC0603D	TAI WAH BUILDING	110 KILLINEY ROAD 239550	21 BUKIT BATOK CRESCENT 26-80/81 SINGAPORE 658065	ACTIVE	64685100	07/08/1982	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
604	S82MC0604L	FAR EAST FINANCE BUILDING	14 ROBINSON ROAD 48545	11 LORONG 3 TOA PAYOH 01-18 SINGAPORE 319579	ACTIVE	62211313	13/08/1982	PROPERTY FACILITY SERVICES PTE LTD	62211313		
605	S82MC0605G	MT SOPHIA APARTMENTS	95 SOPHIA ROAD 228163	95 SOPHIA ROAD 01-01 SINGAPORE 228163	TERMINATED	65340123	18/08/1982	ACCREDITED PROPERTY MANAGERS	98171870		
606	S82MC0606C	BALMORAL COURT (Terminated0		TERMINATED  - SINGAPORE 	TERMINATED		21/08/1982	ACCREDITED PROPERTY MANAGERS	98171870		
607	S82MC0607K	ALEXANDRA CENTRE	356Z ALEXANDRA ROAD 159949	356 ALEXANDRA ROAD - SINGAPORE 159949	TERMINATED	64685100	28/08/1982	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
608	S82MC0608F	HIGH STREET CENTRE	1 NORTH BRIDGE ROAD 179094	1 NORTH BRIDGE ROAD B1-05A SINGAPORE 179094	ACTIVE	63384705	20/09/1982	Property Facility Serivces Pte Ltd	62211313		
609	S82MC0609B	SURREY POINT	2 SURREY ROAD 307742	2 SURREY ROAD 01-00 SINGAPORE 307742	ACTIVE	62202889	09/09/1982	NIL			
610	S82MC0610K		34 LORONG MAMBONG 277691	34B LORONG MAMBONG - SINGAPORE 277691	ACTIVE	83028454	10/09/1982	NIL			
611	S82MC0611F	HONG BUILDING	208/A/B/C RANGOON ROAD 218451	2 JURONG EAST STREET 21 05-05 SINGAPORE 609601	ACTIVE	65665055	22/09/1982	EXCELTEC PROPERTY MANAGEMENT PTE LTD	65665055		
612	S82MC0612B	LIPO BUILDING	621 ALJUNIED ROAD 389834	621 ALJUNIED ROAD 08-01 SINGAPORE 389834	ACTIVE	67477014	22/09/1982	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
613	S1289138E	BRIGHT CHAMBERS	108 MIDDLE ROAD 188967	750-OASIS CHAI CHEE ROAD 03-09 SINGAPORE 469000	ACTIVE	62930809	29/09/1982	DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT SERVICES PTE LTD	64179222		
614	S82MC0614E	TAN EAN KIAM BUILDING	15 PHILLIP STREET 48694	15 PHILLIP STREET 09-00 SINGAPORE 048694	ACTIVE	65323160	02/10/1982	NIL			
615	S82MC0615A	FIRST MANSION		TERMINATED  - SINGAPORE 	TERMINATED		08/10/1982	PREMAS INTERNATIONAL LIMITED	65384733		
616	S82MC0616H			TERMINATED  - SINGAPORE 	TERMINATED		18/10/1982	PREMAS INTERNATIONAL LIMITED	65384733		
617	S82MC0617D	SHAW CENTRE	1 SCOTTS ROAD 228208	1 SCOTTS ROAD 13-00 SINGAPORE 228208	ACTIVE	62352077	18/10/1982	PREMAS INTERNATIONAL LIMITED	65384733		
618	S82MC0618L	FERNHILL COURT	60 FERNHILL ROAD 259117	420 NORTH BRIDGE ROAD 06-01 SINGAPORE 188727	ACTIVE	63370087	19/10/1982	EARNEST MANAGEMENT SERVICES PTE LTD	63370087		
619	S82MC0619G	KEWALRAM HOUSE	8 JALAN KILANG TIMOR 159305	8 JALAN KILANG TIMOR B1-00 SINGAPORE 159305	ACTIVE	62781202	29/10/1982	PROPERTY FACILITY SERVICES PTE LTD	62211313		
620	S82MC0620D	RUBY  PLAZA	205 BALESTIER ROAD 329682	205 BALESTIER ROAD B1-00 SINGAPORE 329682	TERMINATED	62561135	30/10/1982	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
621	S82MC0621L		57/A/B WESTERHOUT ROAD 397658	57B WESTERHOUT ROAD - SINGAPORE 397660	ACTIVE	67485430	02/11/1982	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
622	S82MC0622G			TERMINATED  - SINGAPORE 	TERMINATED		23/11/1982	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
623	199500393m		37/A/B/C CAVAN ROAD 209844	11 COLLYER QUAY 08-02 SINGAPORE 049317	ACTIVE	62271026	26/11/1982	EDTISEN HOLDINGS PTE LTD	62271026		
624	S82MC0624K	NASSIM REGENCY	37 NASSIM ROAD 258423	14 SCOTTS ROAD 06-00 SINGAPORE 228213	TERMINATED	62352411	01/12/1982				
625	S82MC0625F		T EVELYN ROAD 309304	TERMINATED CECIL STREET - SINGAPORE 	TERMINATED		06/12/1982	EDTISEN HOLDINGS PTE LTD	62271026		
626	S82MC0626B	SPOTTISWOODE APARTMENT	70 SPOTTISWOODE PARK ROAD 88659	70 SPOTTISWOODE PARK ROAD 01-76 SINGAPORE 088659	TERMINATED	62211313	18/10/1982	PROPERTY FACILITY SERVICES PTE LTD	62211313		
627	S82MC00627	TAN JIN CHWEE INDUSTRIAL BUILDING	60 KALLANG PUDDING ROAD 349320	200 JALAN SULTAN 11-01 SINGAPORE 199018	ACTIVE	62915355	07/12/1982	Wisely 98 Pte Ltd	62915355		
628	S82MC0628E	ORCHARD PLAZA	150 ORCHARD ROAD 238841	150 ORCHARD ROAD 03-21A SINGAPORE 238841	ACTIVE	6732 2220	10/12/1982	COSMO PROPERTY CONSULTANTS PTE LTD	62356133		
629	S82MC0629A		11 BELMONT ROAD 269862	21 BELMONT ROAD - SINGAPORE 269865	ACTIVE	64847608	10/12/1982	POLYREALTY PTE LTD	64847608		
630	S82MC0630J	BALMORAL GREEN (Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		16/12/1982	ALPHA REALTY MANAGEMENT PTE LTD	62525138		
631	S82MC0631E	BELVILLE GARDEN (Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		20/10/1982	ALPHA REALTY MANAGEMENT PTE LTD	62525138		
632	S82MC0632A	PKMS BUILDING	218B CHANGI ROAD 419737	218F CHANGI ROAD - SINGAPORE 419737	ACTIVE	64470468	18/12/1982				
633	S83MC0633B	MOON MANSION	27B MEYAPPA CHETTIAR ROAD 358464	25 MEYAPPA CHETTIAR ROAD - SINGAPORE 358464	TERMINATED	62875131	03/01/1983	NIL			
634	S83MC0634J			TERMINATED  - SINGAPORE 	TERMINATED		10/01/1983	NIL			
635	S83MC0635E			TERMINATED  - SINGAPORE 	TERMINATED		10/01/1983	NIL			
636	S83MC0636A	10 LEEDON ROAD	10 LEEDON ROAD 267833	10 LEEDON ROAD 01-01 SINGAPORE 267833	ACTIVE	62569333	15/01/1983	Newman & Goh Property Consultants Pte Ltd	62569333		
637	S83MC0637H	SHENTON HOUSE	3 SHENTON WAY 068805	3 SHENTON WAY 22-05 SINGAPORE 068805	ACTIVE	62216425	19/01/1983	CKH STRATA MANAGEMENT PTE LTD	64363238		
638	S83MC0638D	MANDALAY VILLE	21 MANDALAY ROAD 308208	TERMINATED YUK TONG AVENUE - SINGAPORE 596306	TERMINATED	64661342	20/01/1983	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342		
639	S83MC0639L	DUNMAN CT		TERMINATED  - SINGAPORE 	TERMINATED		21/01/1983	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342		
640	S83MC0640H	ST. MICHAEL'S COURT - Termination	23E ST. MICHAELS ROAD 327980	TERMINATED ST. MICHAELS ROAD - SINGAPORE 	TERMINATED		01/02/1983	KENWOOD PROPERTY CONSULTANTS PTE LTD	63374817		
641	S83MC0641D	TAN BOON LIAT BUILDING	315 OUTRAM ROAD 169074	315 OUTRAM ROAD 15-5 SINGAPORE 169074	ACTIVE	62213731	05/02/1983	NEWMAN & GOH PROPERTY CONSULTANTS (PTE) LTD	62569333		
642	S83MC0642L	CLEMENCEAU COURT	65 CAVENAGH ROAD 229619	19 KIM KEAT ROAD 04-07 SINGAPORE 328804	TERMINATED	62501102	05/02/1983	BOND PROPERTIES PTE LTD	62501102		
643	S83MC0643G	FAIRVIEW COURT		558 UPPER EAST COAST ROAD - SINGAPORE 466579	TERMINATED	63457395	08/02/1983	BOND PROPERTIES PTE LTD	62501102		
644	S83MC0644C	TANGLIN STUDIO (Terminated)	21 LEONIE HILL 239223	TERMINATED  - SINGAPORE 	TERMINATED		10/02/1983	LEONIE LAND PTE LTD	67331322		
645	S83MC0645K	SINGAPORE SHOPPING CENTRE	190 CLEMENCEAU AVENUE 239924	190 CLEMENCEAU AVENUE 05-26 SINGAPORE 239924	ACTIVE	63393779	07/03/1983	FIRST BOSTON PROPERTY CONSULTANTS PTE LTD	63393779		
646	S83MC0646F	TRENDALE TOWER	79 CAIRNHILL ROAD 229681	79 CAIRNHILL ROAD - SINGAPORE 229681	ACTIVE	64497141	09/03/1983	Ascent Property Management Services Pte Ltd	64497141		
647	S83MC0647B	CAVENAGH GARDENS	73 CAVENAGH ROAD 229622	69 CAVENAGH ROAD 01-348 SINGAPORE 229622	ACTIVE	62569333	15/03/1983	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
648	S83MC0648J		390B EAST COAST ROAD 428991	390A EAST COAST ROAD - SINGAPORE 428990	ACTIVE	64473004	15/03/1983	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
649	S83MC0649E			TERMINATED  - SINGAPORE 	TERMINATED		15/03/1983	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
650	S83MC0650B	PALM BEACH GARDEN	57 ELLIOT ROAD 458700	531 UPPER CROSS STREET 04-12 SINGAPORE 050531	TERMINATED	63345565	15/03/1983	DICKSON PROPERTY CONSULTANTS PTE LTD	63345565		
651	S83MC0651J	LUCKY PLAZA	304 ORCHARD ROAD 238863	304 ORCHARD ROAD 02-115 SINGAPORE 238863	ACTIVE	62353294	30/03/1983	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	62353294		
652	S83MC0652E		38/A MIMOSA ROAD 807998	TERMINATED UPPER CROSS STREET - SINGAPORE 	TERMINATED		30/03/1983	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	63723033		
653	S83MC0653A	LINCOLNSVALE TERMINATED	20 SURREY ROAD 307753	20 SURREY ROAD - SINGAPORE 307753	TERMINATED	62569333	12/04/1983	NEWMAN & GOH PROPERTY CONSULTANTS (PTE) LTD	62569333		
654	S83MC0654H		62B JOO CHIAT PLACE 427785	62 JOO CHIAT PLACE - SINGAPORE 427785	ACTIVE	63457515	12/04/1983	NEWMAN & GOH PROPERTY CONSULTANTS (PTE) LTD	62569333		
655	S83MC0655D			287 CHANGI ROAD - SINGAPORE 419766	ACTIVE	67420324	12/04/1983	NEWMAN & GOH PROPERTY CONSULTANTS (PTE) LTD	62569333		
656	S83MC0656L			TERMINATED  - SINGAPORE 	TERMINATED		19/04/1983	NEWMAN & GOH PROPERTY CONSULTANTS (PTE) LTD	62569333		
657	S83MC0657G		255 JOO CHIAT ROAD 427509	103 TAI HWAN HEIGHTS - SINGAPORE 555448	ACTIVE	62833371	20/04/1983	MCST			
658	S83MC0658C	185/A-191/A EAST COAST ROAD		185A EAST COAST ROAD - SINGAPORE 428891	ACTIVE	67457312	20/04/1983				
659	S83MC0659K			TERMINATED  - SINGAPORE 	TERMINATED		28/04/1983	MCST			
660	S83MC0660G		3A THONG SOON AVENUE 787431	289 LOYANG RISE - SINGAPORE 507324	ACTIVE	91392107	29/04/1983	NIL			
661	S83MC0661C		443C GEYLANG ROAD 389403	23 BROADRICK ROAD - SINGAPORE 439503	ACTIVE	63485525	30/04/1983	NIL			
662	S83MC0662K	NIM PARK CONDOMINIUM	61 NIM ROAD 807578	71 NIM ROAD - SINGAPORE 807588	TERMINATED	62501102	03/05/1983	BOND PROPERTIES PTE LTD	62501102		
663	S83MC0663F	(Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		11/05/1983	BOND PROPERTIES PTE LTD	62501102		
664	S83MC0664B	ORCHARD TOWERS	1 CLAYMORE DRIVE 238875	400 ORCHARD ROAD 06-06 SINGAPORE 238875	ACTIVE	67342326	18/05/1983	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	62218288		
665	S83MC0665J	GOLDEN WALL CENTRE	89 SHORT STREET 188216	89 SHORT STREET 06-00 SINGAPORE 188216	ACTIVE	63382582	02/06/1983	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	62218288		
666	S83MC0666E	MINBU VILLA	56 MINBU ROAD 308185	3006 UBI ROAD 1 03-370 SINGAPORE 408700	ACTIVE	67441083	03/06/1983	DICKSON PROPERTY CONSULTANTS PTE LTD	63345565		
667	S83MC0667A	BYLANDS BUILDING	135 MIDDLE ROAD 188975	135 MIDDLE ROAD - SINGAPORE 188975	ACTIVE	68887912	14/06/1983	HOE-TAN CO ( PTE ) LTD	68387910		
